feature,stability_score,drift_score,predictive_power,cross_token_consistency,token_coverage,score,keep_decision
ret_12h,0.7647,0.8737,0.0261,0.8,1.0,0.4562,KEEP
rel_perf_24h,0.7974,1.241,0.0723,0.75,0.8,0.4561,REMOVE (high drift)
dist_avwap_50,0.7344,2.1061,0.0805,1.0,1.0,0.4525,REMOVE (high drift)
bb_pct_b,0.7967,0.3311,0.0223,0.6,1.0,0.4514,KEEP
dpo_20,0.732,2.2081,0.079,1.0,1.0,0.4512,REMOVE (high drift)
smart_money_confluence,0.7092,0.5633,0.0135,0.8,1.0,0.45,KEEP
roc_14,0.7622,1.1725,0.049,0.8,1.0,0.4496,REMOVE (high drift)
starc_position,0.8122,0.5366,0.0235,0.6,1.0,0.4462,KEEP
ret_24h,0.6901,1.7907,0.0705,1.0,1.0,0.4457,REMOVE (high drift)
ema_alignment,0.7511,2.3412,0.0504,1.0,1.0,0.4455,REMOVE (high drift)
elder_bull,0.7924,0.4414,0.0245,0.6,1.0,0.4454,KEEP
cci_20,0.7939,0.3893,0.0155,0.6,1.0,0.4449,KEEP
volume_delta_14,0.8115,1.4392,0.0321,0.8,1.0,0.4443,REMOVE (high drift)
awesome_osc,0.73,2.2886,0.0622,1.0,1.0,0.4439,REMOVE (high drift)
ichi_above_cloud,0.7362,0.3585,0.0407,0.6,1.0,0.4392,KEEP
fib_dist_618,0.6663,4.6619,0.0963,1.0,1.0,0.4384,REMOVE (high drift)
dist_rolling_vwap,0.752,1.1486,0.0208,0.8,1.0,0.4365,REMOVE (high drift)
dist_vwap,0.752,1.1486,0.0208,0.8,1.0,0.4365,REMOVE (high drift)
fib_dist_500,0.6585,3.3683,0.0948,1.0,1.0,0.4355,REMOVE (high drift)
kst_signal,0.698,4.0275,0.0618,1.0,1.0,0.4341,REMOVE (high drift)
atr_band_position,0.8009,0.6044,0.0074,0.6,1.0,0.433,KEEP
hurst,0.6026,2.7273,0.1278,1.0,1.0,0.4319,REMOVE (high drift)
pct_dist_to_resistance,0.7275,1.9107,0.0229,1.0,1.0,0.4319,REMOVE (high drift)
ichi_dist_cloud_top,0.6795,3.27,0.0699,1.0,1.0,0.4318,REMOVE (high drift)
btc_4h_return,0.8022,0.3365,0.0172,0.5,0.8,0.4307,KEEP
macd,0.6742,3.5653,0.0693,1.0,1.0,0.43,REMOVE (high drift)
fib_dist_236,0.6096,2.5145,0.1172,1.0,1.0,0.4297,REMOVE (high drift)
