symbol,bar_index,timestamp,direction,meta_conf,edge_score,thr,price,atr,regime_str,reg_buy_ok,reg_sell_ok,reg_skipped,at_res,at_sup,trend_1d,total_conf,choppiness,bos,ev,ev_floor,prior_frac,rev_frac,rsi_val,rsi_slope,rsi_accel,bars_since_exit,atr_pct,blocked_at,block_reason,trade_exit_bar,trade_exit_price,trade_pnl,trade_outcome
SOL/USDT,120,2026-03-14 21:00:00,short,0.64172,66.96,60.0,87.28,0.395714,low_low_flat,False,True,False,False,True,0.0,-0.044387569705567405,71.78594529729654,0.0,0.005857,0.006,0.0,0.0,50.0,0.0,0.0,-1,0.0,G4_EV,ev=0.00586 <= floor=0.00600  meta_conf=0.6417,-1,0.0,0.0,
SOL/USDT,121,2026-03-14 22:00:00,short,0.64644,68.94,60.0,87.31,0.379286,low_low_flat,False,True,False,False,True,0.0,0.14310563105130691,74.05522517675068,0.0,0.005589,0.006,0.0,0.0,50.0,0.0,0.0,-1,0.0,G4_EV,ev=0.00559 <= floor=0.00600  meta_conf=0.6464,-1,0.0,0.0,
SOL/USDT,122,2026-03-14 23:00:00,short,0.61136,100.0,60.0,88.03,0.392857,low_low_flat,False,True,False,True,False,0.0,0.33291396162088455,52.017952427119475,0.0,0.004747,0.006,0.0,0.0,50.0,0.0,0.0,-1,0.0,G4_EV,ev=0.00475 <= floor=0.00600  meta_conf=0.6114,-1,0.0,0.0,
SOL/USDT,123,2026-03-15 00:00:00,short,0.62489,77.65,60.0,87.76,0.401429,low_low_flat,False,True,False,True,True,0.0,0.20314573204159433,52.384937883890224,0.0,0.005402,0.006,0.0,0.0,50.0,0.0,0.0,-1,0.0,G4_EV,ev=0.00540 <= floor=0.00600  meta_conf=0.6249,-1,0.0,0.0,
SOL/USDT,124,2026-03-15 01:00:00,short,0.62514,74.3,60.0,87.69,0.399286,low_low_flat,False,True,False,True,True,0.0,0.19839608488359634,51.50327939384284,0.0,0.005367,0.006,0.0,0.0,50.0,0.0,0.0,-1,0.0,G4_EV,ev=0.00537 <= floor=0.00600  meta_conf=0.6251,-1,0.0,0.0,
SOL/USDT,125,2026-03-15 02:00:00,short,0.6169,100.0,60.0,88.3,0.445714,low_low_flat,False,True,False,True,False,0.0,0.6361833612108121,41.90351749615945,1.0,0.006091,0.006,1.0,1.0,69.38110717546076,3.7750991571374932,0.5299657172882091,-1,0.0,G5_RSI_ACCEL,rsi_accel=0.5300>0.08 (RSI recovering),-1,0.0,0.0,
SOL/USDT,126,2026-03-15 03:00:00,short,0.63213,89.12,60.0,87.86,0.474286,low_low_flat,False,True,False,True,False,0.0,0.3162054008805629,41.79305062832128,0.0,0.007371,0.006,0.75,0.5,60.683760441717226,3.7936960436575538,0.01859688652006053,68,0.005398,TRADE,edge=89.1 meta_conf=0.6321,143,88.974571,-1.1146,LOSS
SOL/USDT,144,2026-03-15 21:00:00,short,0.61838,100.0,60.0,90.0,0.697857,low_low_up,False,True,False,True,False,0.0,0.6756360397767822,36.35285033812935,1.0,0.011582,0.006,0.25,0.0,50.0,0.0,0.0,-1,0.0,G4_5_MTF,prior(bullish)=0.25<0.6 OR rev(bearish)=0.00<0.5,-1,0.0,0.0,
SOL/USDT,145,2026-03-15 22:00:00,short,0.56024,100.0,60.0,92.64,0.891429,low_med_up,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.sell_ok=False  regime='low_med_up',-1,0.0,0.0,
SOL/USDT,146,2026-03-15 23:00:00,short,0.5556,100.0,60.0,92.3,0.974286,med_med_up,False,True,False,True,False,0.0,0.6290455788158642,14.12675579565528,0.0,0.012541,0.006,0.75,0.0,50.0,0.0,0.0,-1,0.0,G4_5_MTF,prior(bullish)=0.75<0.6 OR rev(bearish)=0.00<0.5,-1,0.0,0.0,
SOL/USDT,147,2026-03-16 00:00:00,short,0.5502,89.14,60.0,92.01,1.035,med_high_up,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.sell_ok=False  regime='med_high_up',-1,0.0,0.0,
SOL/USDT,148,2026-03-16 01:00:00,short,0.54956,85.64,60.0,92.11,1.057857,med_high_up,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.sell_ok=False  regime='med_high_up',-1,0.0,0.0,
SOL/USDT,149,2026-03-16 02:00:00,short,0.54942,75.25,60.0,91.48,1.11,med_high_up,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.sell_ok=False  regime='med_high_up',-1,0.0,0.0,
SOL/USDT,150,2026-03-16 03:00:00,short,0.55827,100.0,60.0,93.16,1.230714,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,151,2026-03-16 04:00:00,short,0.55127,89.25,60.0,93.62,1.292857,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,152,2026-03-16 05:00:00,short,0.55319,88.51,60.0,94.04,1.347143,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,153,2026-03-16 06:00:00,short,0.55587,88.27,60.0,93.4,1.368571,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,154,2026-03-16 07:00:00,short,0.55332,84.55,60.0,93.56,1.314286,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,155,2026-03-16 08:00:00,short,0.5588,76.33,60.0,92.86,1.357857,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,156,2026-03-16 09:00:00,short,0.54994,83.27,60.0,93.29,1.377143,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,157,2026-03-16 10:00:00,short,0.55225,83.21,60.0,93.9,1.354286,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,158,2026-03-16 11:00:00,short,0.55685,82.93,60.0,93.75,1.262857,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,159,2026-03-16 12:00:00,short,0.55037,86.0,60.0,93.77,1.099286,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,160,2026-03-16 13:00:00,short,0.55948,92.03,60.0,93.68,1.105,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,161,2026-03-16 14:00:00,short,0.57718,96.23,60.0,93.6,1.175714,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,162,2026-03-16 15:00:00,short,0.60547,82.96,60.0,93.2,1.211429,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,163,2026-03-16 16:00:00,short,0.59676,88.08,60.0,93.81,1.199286,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,164,2026-03-16 17:00:00,short,0.57268,82.96,60.0,94.08,1.054286,high_high_up,,,True,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G1_REGIME,regime='high_high_up' skipped=True reg_empty=False,-1,0.0,0.0,
SOL/USDT,165,2026-03-16 18:00:00,short,0.56022,84.62,60.0,94.38,1.035714,high_med_up,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.sell_ok=False  regime='high_med_up',-1,0.0,0.0,
SOL/USDT,166,2026-03-16 19:00:00,short,0.55489,83.31,60.0,95.21,1.050714,high_med_up,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.sell_ok=False  regime='high_med_up',-1,0.0,0.0,
SOL/USDT,167,2026-03-16 20:00:00,short,0.54767,80.47,60.0,95.78,1.051429,high_med_up,False,False,False,False,False,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,-1,0.0,G2_EDGE,reg.sell_ok=False  regime='high_med_up',-1,0.0,0.0,
